window,contract_number,build_id,build_label,samples,wins,win_rate,avg_damage,damage_variance,avg_dps,dps_variance,avg_required_dps,avg_required_dps_gap,avg_damage_gap,avg_blocked_damage,avg_absorbed_damage,avg_crit_negated_damage,avg_dodges,avg_cleanses,avg_interrupts,avg_stun_seconds
fixed_30s,4,shadow,Shadow,80,0,0.0,789.8,22775.46,26.3267,25.3061,142.2928,-115.9661,-2174.75,36.547,51.5981,18.6261,0.0,2.025,0.0,0.0
generated_duration,4,shadow,Shadow,80,0,0.0,1156.9125,132553.8798,26.9335,27.3104,142.2928,-115.3592,-1807.6375,54.815,75.2386,33.5345,0.0,2.8375,0.0,0.0
fixed_30s,4,thief,Thief,80,0,0.0,739.0375,169329.3361,24.6346,188.1437,142.2928,-117.6582,-2225.5125,42.1493,0.0,18.9188,0.0,1.425,3.3375,0.0
generated_duration,4,thief,Thief,80,0,0.0,1055.7625,421472.0311,24.4024,183.2933,142.2928,-117.8904,-1908.7875,64.2061,0.0,30.1486,0.0,2.05,4.6125,0.0
fixed_30s,5,assassin,Assassin,80,0,0.0,856.8125,46563.0523,28.5604,51.7367,180.5218,-151.9614,-2931.3125,29.7105,60.175,14.1372,0.0,1.2125,0.925,0.0
generated_duration,5,assassin,Assassin,80,0,0.0,1249.075,133034.4944,29.064,50.8038,180.5218,-151.4578,-2539.05,41.8816,89.975,28.3303,0.0,1.925,1.55,0.0
fixed_30s,5,blade_dancer,Blade Dancer,80,0,0.0,750.85,66883.8275,25.0283,74.3154,180.5218,-155.4935,-3037.275,85.5128,0.0,36.888,0.0,3.4875,0.0,0.0
generated_duration,5,blade_dancer,Blade Dancer,80,0,0.0,1115.7875,235741.3173,25.3423,74.8558,180.5218,-155.1795,-2672.3375,115.4885,0.0,52.5923,0.0,5.325,0.0,0.0
fixed_30s,5,shadow,Shadow,80,0,0.0,782.375,27617.8344,26.0792,30.6865,180.5218,-154.4427,-3005.75,49.1701,41.2214,27.9483,0.0,1.9125,0.0,0.0
generated_duration,5,shadow,Shadow,80,0,0.0,1175.6125,159974.2873,26.6993,30.7274,180.5218,-153.8225,-2612.5125,66.4007,62.1042,38.8475,0.0,2.9875,0.0,0.0
fixed_30s,5,thief,Thief,80,0,0.0,735.2875,148309.9798,24.5096,164.7889,180.5218,-156.0122,-3052.8375,57.0508,0.0,26.4395,0.0,1.725,2.35,0.0
generated_duration,5,thief,Thief,80,0,0.0,1092.0625,427639.2336,24.5901,165.3984,180.5218,-155.9317,-2696.0625,77.6021,0.0,33.6795,0.0,2.6125,3.5,0.0
fixed_30s,6,assassin,Assassin,80,0,0.0,896.525,52245.3494,29.8842,58.0504,251.1326,-221.2485,-4350.55,42.3914,42.8875,19.8989,0.0,0.9625,1.4625,0.0
